file,point_index,series,x_px,y_px,rssi,rssi_float,area
1.PNG,1,yellow,257.5,984.5,-76,-76.0,440
1.PNG,2,yellow,268.5,1117.5,-81,-81.01,440
1.PNG,3,yellow,280.5,1090.5,-80,-79.99,440
1.PNG,4,yellow,291.5,1117.5,-81,-81.01,356
1.PNG,5,yellow,308.0,1117.5,-81,-81.01,376
1.PNG,6,yellow,318.3,1223.5,-85,-85.0,434
1.PNG,7,yellow,329.5,1276.5,-87,-87.0,440
1.PNG,8,yellow,341.4,1223.5,-85,-85.0,442
1.PNG,9,yellow,357.5,1063.5,-79,-78.97,440
1.PNG,10,yellow,370.5,1276.5,-87,-87.0,440
1.PNG,11,yellow,383.5,1011.5,-77,-77.01,440
1.PNG,12,yellow,395.5,984.5,-76,-76.0,440
1.PNG,13,yellow,404.5,1037.5,-78,-77.99,440
1.PNG,14,yellow,418.5,1302.5,-88,-87.98,440
1.PNG,15,yellow,433.5,1011.5,-77,-77.01,440
1.PNG,16,yellow,445.5,1143.5,-82,-81.99,440
1.PNG,17,yellow,460.5,1011.5,-77,-77.01,440
1.PNG,18,yellow,471.5,1063.5,-79,-78.97,440
1.PNG,19,yellow,484.5,1302.5,-88,-87.98,440
1.PNG,20,yellow,496.5,1063.5,-79,-78.97,440
1.PNG,21,yellow,508.5,1223.5,-85,-85.0,440
1.PNG,22,yellow,522.5,1276.5,-87,-87.0,440
1.PNG,23,yellow,532.5,1170.5,-83,-83.01,440
1.PNG,24,yellow,543.5,1249.5,-86,-85.98,440
1.PNG,25,yellow,559.5,1223.5,-85,-85.0,440
1.PNG,26,yellow,572.5,1170.5,-83,-83.01,441
1.PNG,27,yellow,580.5,1037.5,-78,-77.99,440
1.PNG,28,yellow,598.5,1170.5,-83,-83.01,440
1.PNG,29,yellow,611.5,984.5,-76,-76.0,440
1.PNG,30,yellow,625.5,1063.5,-79,-78.97,440
1.PNG,31,yellow,637.5,1011.5,-77,-77.01,440
1.PNG,32,yellow,650.3,1249.5,-86,-85.98,434
1.PNG,33,yellow,661.5,878.5,-72,-72.0,440
1.PNG,34,yellow,673.4,1249.5,-86,-85.98,442
1.PNG,35,yellow,684.5,931.5,-74,-74.0,440
1.PNG,36,yellow,700.5,1011.5,-77,-77.01,440
1.PNG,37,yellow,714.5,1329.5,-89,-89.0,440
1.PNG,38,yellow,726.5,1117.5,-81,-81.01,440
1.PNG,39,yellow,735.5,1090.5,-80,-79.99,441
1.PNG,40,yellow,750.5,1196.5,-84,-83.99,440
1.PNG,41,yellow,760.5,1249.5,-86,-85.98,440
1.PNG,42,yellow,773.5,1170.5,-83,-83.01,440
1.PNG,43,yellow,788.5,1037.5,-78,-77.99,440
1.PNG,44,yellow,803.5,1063.5,-79,-78.97,440
1.PNG,45,yellow,815.5,1117.5,-81,-81.01,440
1.PNG,46,yellow,826.5,1090.5,-80,-79.99,440
1.PNG,47,yellow,838.5,958.5,-75,-75.02,356
1.PNG,48,yellow,855.0,958.5,-75,-75.02,376
1.PNG,49,yellow,862.4,984.5,-76,-76.0,394
1.PNG,50,yellow,880.6,984.5,-76,-76.0,394
1.PNG,51,yellow,891.5,1090.5,-80,-79.99,440
1.PNG,52,yellow,902.5,958.5,-75,-75.02,442
1.PNG,53,yellow,914.6,1090.5,-80,-79.99,358
1.PNG,54,yellow,930.4,1090.5,-80,-79.99,358
1.PNG,55,yellow,942.5,1223.5,-85,-85.0,440
1.PNG,56,yellow,952.5,1117.5,-81,-81.01,440
1.PNG,57,yellow,964.5,1011.5,-77,-77.01,440
1.PNG,58,yellow,981.5,1143.5,-82,-81.99,440
1.PNG,59,yellow,993.5,958.5,-75,-75.02,440
1.PNG,60,yellow,1004.5,1090.5,-80,-79.99,440
1.PNG,61,yellow,1016.5,1011.5,-77,-77.01,440
1.PNG,62,yellow,1032.5,1090.5,-80,-79.99,440
1.PNG,63,yellow,1043.5,1117.5,-81,-81.01,440
1.PNG,64,yellow,1052.5,1196.5,-84,-83.99,440
1.PNG,65,yellow,1070.5,1170.5,-83,-83.01,440
2.PNG,1,yellow,257.5,989.5,-77,-76.97,440
2.PNG,2,yellow,267.5,894.5,-71,-70.99,440
2.PNG,3,blue,279.5,799.5,-65,-65.01,448
2.PNG,4,blue,294.5,878.5,-70,-69.98,448
2.PNG,5,yellow,307.5,910.5,-72,-72.0,440
2.PNG,6,blue,321.5,878.5,-70,-69.98,448
2.PNG,7,yellow,331.5,1228.5,-92,-92.0,440
2.PNG,8,yellow,341.5,1005.5,-78,-77.97,440
2.PNG,9,yellow,361.5,942.5,-74,-74.01,440
2.PNG,10,blue,372.5,878.5,-70,-69.98,448
2.PNG,11,yellow,388.5,1101.5,-84,-84.01,440
2.PNG,12,yellow,400.0,1005.5,-78,-77.97,376
2.PNG,13,yellow,417.0,1005.5,-78,-77.97,376
2.PNG,14,yellow,427.3,942.7,-74,-74.02,429
2.PNG,15,yellow,440.7,926.3,-73,-72.99,429
2.PNG,16,yellow,454.5,989.5,-77,-76.97,440
2.PNG,17,yellow,467.5,926.5,-73,-73.0,440
2.PNG,18,blue,477.5,830.5,-67,-66.96,448
2.PNG,19,yellow,493.5,1085.5,-83,-83.0,440
2.PNG,20,blue,508.2,814.1,-66,-65.93,427
2.PNG,21,blue,519.8,830.9,-67,-66.99,427
2.PNG,22,yellow,534.2,1005.9,-78,-78.0,421
2.PNG,23,yellow,545.8,989.1,-77,-76.94,421
2.PNG,24,yellow,562.3,910.7,-72,-72.01,430
2.PNG,25,yellow,573.2,894.2,-71,-70.97,325
2.PNG,26,yellow,587.4,894.4,-71,-70.98,310
2.PNG,27,yellow,600.5,910.5,-72,-71.99,442
