file,series,count,mean,median,std,min,max,iqr_filtered_count,iqr_filtered_mean,iqr_filtered_median
1.PNG,all,65,-80.662,-80.0,4.048,-89,-72,65,-80.662,-80.0
1.PNG,yellow,65,-80.662,-80.0,4.048,-89,-72,65,-80.662,-80.0
2.PNG,all,62,-72.919,-72.0,5.832,-92,-63,61,-72.607,-72.0
2.PNG,blue,24,-67.542,-67.0,2.064,-70,-63,24,-67.542,-67.0
2.PNG,yellow,38,-76.316,-77.0,4.777,-92,-71,37,-75.892,-77.0
3.PNG,all,62,-75.984,-75.5,5.088,-89,-67,62,-75.984,-75.5
3.PNG,blue,9,-68.889,-69.0,1.054,-70,-67,9,-68.889,-69.0
3.PNG,yellow,53,-77.189,-76.0,4.472,-89,-71,53,-77.189,-76.0
4.PNG,all,61,-74.918,-74.0,5.184,-92,-68,60,-74.633,-74.0
4.PNG,blue,14,-69.143,-69.0,0.77,-70,-68,14,-69.143,-69.0
4.PNG,yellow,47,-76.638,-76.0,4.66,-92,-71,46,-76.304,-75.5
5.PNG,all,61,-73.508,-72.0,5.124,-91,-66,60,-73.217,-72.0
5.PNG,blue,20,-68.2,-68.0,1.508,-70,-66,20,-68.2,-68.0
5.PNG,yellow,41,-76.098,-76.0,4.164,-91,-71,40,-75.725,-76.0
6.PNG,all,61,-80.262,-80.0,4.946,-92,-71,61,-80.262,-80.0
6.PNG,yellow,61,-80.262,-80.0,4.946,-92,-71,61,-80.262,-80.0
7.PNG,all,61,-69.131,-68.0,4.353,-84,-63,60,-68.883,-68.0
7.PNG,blue,40,-66.525,-66.5,1.811,-70,-63,40,-66.525,-66.5
7.PNG,yellow,21,-74.095,-73.0,3.315,-84,-71,19,-73.263,-73.0
8.PNG,all,62,-75.21,-74.0,5.561,-94,-68,60,-74.6,-73.5
8.PNG,blue,13,-69.385,-70.0,0.768,-70,-68,13,-69.385,-70.0
8.PNG,yellow,49,-76.755,-76.0,5.246,-94,-71,47,-76.043,-75.0
9.PNG,all,62,-75.081,-76.0,4.244,-87,-67,62,-75.081,-76.0
9.PNG,blue,12,-69.167,-69.5,1.03,-70,-67,12,-69.167,-69.5
9.PNG,yellow,50,-76.5,-77.0,3.4,-87,-71,49,-76.286,-77.0
10.PNG,all,60,-78.383,-77.0,5.612,-92,-70,60,-78.383,-77.0
10.PNG,blue,4,-70.0,-70.0,0.0,-70,-70,4,-70.0,-70.0
10.PNG,yellow,56,-78.982,-77.5,5.321,-92,-71,56,-78.982,-77.5
