file,point_index,series,x_px,y_px,rssi,rssi_float,area
1.PNG,1,yellow,257.1,1223.5,-95,-95.01,424
1.PNG,2,yellow,277.9,1223.5,-95,-95.01,424
1.PNG,3,yellow,303.5,1143.5,-92,-91.99,440
1.PNG,4,yellow,332.5,1143.5,-92,-91.99,584
1.PNG,5,yellow,372.5,1223.5,-95,-95.01,468
1.PNG,6,yellow,427.5,1276.5,-97,-97.02,440
1.PNG,7,yellow,461.1,1196.5,-94,-93.99,424
1.PNG,8,yellow,481.9,1196.5,-94,-93.99,424
1.PNG,9,yellow,515.5,1223.5,-95,-95.01,440
1.PNG,10,yellow,547.5,1249.5,-96,-96.0,468
1.PNG,11,yellow,601.5,1143.5,-92,-91.99,440
1.PNG,12,yellow,624.5,1170.5,-93,-93.01,468
1.PNG,13,yellow,681.5,1276.5,-97,-97.02,440
1.PNG,14,yellow,710.5,1011.5,-87,-87.0,440
1.PNG,15,yellow,736.5,1223.5,-95,-95.01,441
1.PNG,16,yellow,762.5,1170.5,-93,-93.01,440
1.PNG,17,yellow,782.5,1302.5,-98,-98.0,440
1.PNG,18,yellow,804.5,1276.5,-97,-97.02,440
1.PNG,19,yellow,833.0,1276.5,-97,-97.02,376
1.PNG,20,yellow,850.0,1276.5,-97,-97.02,376
1.PNG,21,yellow,898.5,1223.5,-95,-95.01,441
1.PNG,22,yellow,913.5,1249.5,-96,-96.0,440
1.PNG,23,yellow,950.3,1037.5,-88,-87.98,434
1.PNG,24,yellow,972.7,1037.5,-88,-87.98,434
1.PNG,25,yellow,1007.5,1117.5,-91,-91.01,440
1.PNG,26,yellow,1033.5,1090.5,-90,-89.99,440
1.PNG,27,yellow,1059.5,1223.5,-95,-95.01,441
1.PNG,28,yellow,1070.5,1249.5,-96,-96.0,440
2.PNG,1,yellow,257.5,1117.5,-96,-96.02,440
2.PNG,2,yellow,263.1,1063.5,-94,-93.98,336
2.PNG,3,yellow,278.6,1063.5,-94,-93.98,374
2.PNG,4,yellow,348.5,1037.5,-93,-93.0,440
2.PNG,5,yellow,368.5,1090.5,-95,-95.0,440
2.PNG,6,yellow,408.5,1143.5,-97,-97.0,440
2.PNG,7,yellow,433.5,1143.5,-97,-97.0,440
2.PNG,8,yellow,458.5,1143.5,-97,-97.0,440
2.PNG,9,yellow,481.5,1117.5,-96,-96.02,440
2.PNG,10,yellow,513.5,1063.5,-94,-93.98,440
2.PNG,11,yellow,547.3,1037.5,-93,-93.0,574
2.PNG,12,yellow,615.5,1063.5,-94,-93.98,440
2.PNG,13,yellow,650.5,1090.5,-95,-95.0,440
2.PNG,14,yellow,661.5,1117.5,-96,-96.02,468
2.PNG,15,yellow,732.5,1063.5,-94,-93.98,440
2.PNG,16,yellow,757.5,1063.5,-94,-93.98,440
2.PNG,17,yellow,768.5,1037.5,-93,-93.0,440
2.PNG,18,yellow,803.5,1143.5,-97,-97.0,440
2.PNG,19,yellow,834.5,1143.5,-97,-97.0,440
2.PNG,20,yellow,851.5,1090.5,-95,-95.0,440
2.PNG,21,yellow,870.5,1143.5,-97,-97.0,440
2.PNG,22,yellow,919.5,1117.5,-96,-96.02,440
2.PNG,23,yellow,944.5,1037.5,-93,-93.0,440
2.PNG,24,yellow,970.5,1090.5,-95,-95.0,440
2.PNG,25,yellow,999.5,1090.5,-95,-95.0,468
2.PNG,26,yellow,1070.5,1090.5,-95,-95.0,440
3.PNG,1,yellow,257.5,1037.5,-93,-92.99,440
3.PNG,2,yellow,260.5,1063.5,-94,-93.97,440
3.PNG,3,yellow,294.5,1090.5,-95,-94.99,440
3.PNG,4,yellow,328.5,1011.5,-92,-92.0,440
3.PNG,5,yellow,355.5,1011.5,-92,-92.0,440
3.PNG,6,yellow,380.5,1063.5,-94,-93.97,440
3.PNG,7,yellow,408.5,1090.5,-95,-94.99,440
3.PNG,8,yellow,434.5,958.5,-90,-90.0,440
3.PNG,9,yellow,452.5,984.5,-91,-90.98,440
3.PNG,10,yellow,491.5,1011.5,-92,-92.0,440
3.PNG,11,yellow,517.0,984.5,-91,-90.98,376
3.PNG,12,yellow,534.0,984.5,-91,-90.98,376
3.PNG,13,yellow,563.5,984.5,-91,-90.98,441
3.PNG,14,yellow,583.5,1063.5,-94,-93.97,440
3.PNG,15,yellow,611.5,1037.5,-93,-92.99,440
3.PNG,16,yellow,651.5,984.5,-91,-90.98,468
3.PNG,17,yellow,699.5,984.5,-91,-90.98,440
3.PNG,18,yellow,719.5,1063.5,-94,-93.97,440
3.PNG,19,yellow,751.5,1037.5,-93,-92.99,440
3.PNG,20,yellow,785.5,1037.5,-93,-92.99,440
3.PNG,21,yellow,816.5,1196.5,-99,-99.0,440
3.PNG,22,yellow,834.1,1063.5,-94,-93.97,424
3.PNG,23,yellow,854.9,1063.5,-94,-93.97,424
3.PNG,24,yellow,889.5,1011.5,-92,-92.0,440
3.PNG,25,yellow,914.5,1063.5,-94,-93.97,440
3.PNG,26,yellow,951.5,1117.5,-96,-96.01,468
3.PNG,27,yellow,997.5,958.5,-90,-90.0,468
3.PNG,28,yellow,1050.5,1143.5,-97,-96.99,441
3.PNG,29,yellow,1070.5,1063.5,-94,-93.97,440
4.PNG,1,yellow,257.5,931.5,-84,-84.0,440
4.PNG,2,yellow,279.5,1170.5,-93,-93.02,440
4.PNG,3,yellow,307.5,984.5,-86,-86.0,440
4.PNG,4,yellow,332.5,1063.5,-89,-88.98,440
4.PNG,5,yellow,359.5,958.5,-85,-85.02,440
4.PNG,6,yellow,379.5,1090.5,-90,-90.0,440
4.PNG,7,yellow,412.5,984.5,-86,-86.0,440
4.PNG,8,yellow,438.5,1090.5,-90,-90.0,440
4.PNG,9,yellow,463.5,1090.5,-90,-90.0,440
4.PNG,10,yellow,488.5,1063.5,-89,-88.98,440
4.PNG,11,yellow,511.5,1037.5,-88,-88.0,440
4.PNG,12,yellow,535.5,1117.5,-91,-91.02,440
4.PNG,13,yellow,569.5,1090.5,-90,-90.0,440
4.PNG,14,yellow,596.5,984.5,-86,-86.0,440
4.PNG,15,yellow,624.5,1090.5,-90,-90.0,440
4.PNG,16,yellow,645.5,1063.5,-89,-88.98,440
4.PNG,17,yellow,674.5,1063.5,-89,-88.98,440
4.PNG,18,yellow,702.5,1143.5,-92,-92.0,440
4.PNG,19,yellow,727.5,1063.5,-89,-88.98,440
4.PNG,20,yellow,749.5,1090.5,-90,-90.0,440
4.PNG,21,yellow,780.5,1143.5,-92,-92.0,440
4.PNG,22,yellow,807.5,1011.5,-87,-87.02,440
4.PNG,23,yellow,832.5,1196.5,-94,-94.0,440
4.PNG,24,yellow,860.5,1037.5,-88,-88.0,440
4.PNG,25,yellow,879.5,1090.5,-90,-90.0,440
4.PNG,26,yellow,912.5,1063.5,-89,-88.98,440
4.PNG,27,yellow,937.5,984.5,-86,-86.0,440
4.PNG,28,yellow,965.5,984.5,-86,-86.0,440
4.PNG,29,yellow,984.5,931.5,-84,-84.0,440
4.PNG,30,yellow,1015.5,931.5,-84,-84.0,440
4.PNG,31,yellow,1043.5,1063.5,-89,-88.98,440
4.PNG,32,yellow,1070.5,1011.5,-87,-87.02,440
5.PNG,1,yellow,257.5,958.5,-85,-85.01,440
5.PNG,2,yellow,271.5,931.5,-84,-83.99,440
5.PNG,3,yellow,289.5,905.5,-83,-83.0,440
5.PNG,4,yellow,328.5,958.5,-85,-85.01,440
5.PNG,5,yellow,380.5,905.5,-83,-83.0,440
5.PNG,6,yellow,405.5,984.5,-86,-85.99,440
5.PNG,7,yellow,435.3,931.5,-84,-83.99,434
5.PNG,8,yellow,457.7,931.5,-84,-83.99,434
5.PNG,9,yellow,489.5,958.5,-85,-85.01,440
5.PNG,10,yellow,512.5,878.5,-82,-81.98,440
5.PNG,11,yellow,543.3,931.5,-84,-83.99,434
5.PNG,12,yellow,566.4,931.5,-84,-83.99,442
5.PNG,13,yellow,591.5,905.5,-83,-83.0,440
5.PNG,14,yellow,623.5,984.5,-86,-85.99,440
5.PNG,15,yellow,648.5,931.5,-84,-83.99,440
5.PNG,16,yellow,676.5,958.5,-85,-85.01,440
5.PNG,17,yellow,703.5,1063.5,-89,-88.97,440
5.PNG,18,yellow,731.5,878.5,-82,-81.98,440
5.PNG,19,yellow,753.5,1196.5,-94,-94.0,440
5.PNG,20,yellow,776.5,905.5,-83,-83.0,440
5.PNG,21,yellow,810.5,878.5,-82,-81.98,440
5.PNG,22,yellow,836.5,958.5,-85,-85.01,440
5.PNG,23,yellow,859.5,1011.5,-87,-87.01,440
5.PNG,24,yellow,890.5,852.5,-81,-81.0,440
5.PNG,25,yellow,916.5,1170.5,-93,-93.02,440
5.PNG,26,yellow,944.5,878.5,-82,-81.98,440
5.PNG,27,yellow,955.5,1170.5,-93,-93.02,440
5.PNG,28,yellow,991.5,905.5,-83,-83.0,440
5.PNG,29,yellow,1025.5,905.5,-83,-83.0,440
5.PNG,30,yellow,1047.5,931.5,-84,-83.99,440
5.PNG,31,yellow,1070.5,1037.5,-88,-87.99,440
6.PNG,1,yellow,257.5,878.5,-82,-82.0,440
6.PNG,2,yellow,279.5,1037.5,-88,-88.0,440
6.PNG,3,yellow,304.5,905.5,-83,-83.02,440
6.PNG,4,yellow,331.5,1143.5,-92,-92.0,440
6.PNG,5,yellow,356.5,1143.5,-92,-92.0,440
6.PNG,6,yellow,380.5,958.5,-85,-85.02,440
6.PNG,7,yellow,406.5,1170.5,-93,-93.02,440
6.PNG,8,yellow,433.5,984.5,-86,-86.0,440
6.PNG,9,yellow,458.5,1090.5,-90,-90.0,440
6.PNG,10,yellow,484.5,1063.5,-89,-88.98,440
6.PNG,11,yellow,511.5,1037.5,-88,-88.0,440
6.PNG,12,yellow,533.5,1063.5,-89,-88.98,440
6.PNG,13,yellow,562.5,958.5,-85,-85.02,441
6.PNG,14,yellow,578.5,984.5,-86,-86.0,440
6.PNG,15,yellow,612.5,1196.5,-94,-94.0,440
6.PNG,16,yellow,636.5,931.5,-84,-84.0,440
6.PNG,17,yellow,664.5,958.5,-85,-85.02,440
6.PNG,18,yellow,688.5,984.5,-86,-86.0,440
6.PNG,19,yellow,712.5,931.5,-84,-84.0,440
6.PNG,20,yellow,737.5,1063.5,-89,-88.98,440
6.PNG,21,yellow,759.5,1090.5,-90,-90.0,440
6.PNG,22,yellow,792.5,1011.5,-87,-87.02,440
6.PNG,23,yellow,816.5,1037.5,-88,-88.0,440
6.PNG,24,yellow,838.5,958.5,-85,-85.02,440
6.PNG,25,yellow,868.5,958.5,-85,-85.02,440
6.PNG,26,yellow,896.5,984.5,-86,-86.0,628
6.PNG,27,yellow,944.5,984.5,-86,-86.0,440
6.PNG,28,yellow,970.5,1011.5,-87,-87.02,440
6.PNG,29,yellow,978.5,958.5,-85,-85.02,440
6.PNG,30,yellow,1021.5,1090.5,-90,-90.0,440
6.PNG,31,yellow,1045.5,1037.5,-88,-88.0,441
6.PNG,32,yellow,1070.5,984.5,-86,-86.0,440
7.PNG,1,yellow,257.5,825.5,-80,-79.98,440
7.PNG,2,yellow,277.5,1223.5,-95,-95.0,440
7.PNG,3,yellow,301.5,931.5,-84,-83.98,440
7.PNG,4,yellow,330.5,1011.5,-87,-87.0,440
7.PNG,5,yellow,349.5,984.5,-86,-85.98,440
7.PNG,6,yellow,383.5,958.5,-85,-85.0,440
7.PNG,7,yellow,408.5,905.5,-83,-83.0,440
7.PNG,8,yellow,436.5,878.5,-82,-81.98,440
7.PNG,9,yellow,458.5,905.5,-83,-83.0,440
7.PNG,10,yellow,489.5,799.5,-79,-79.0,440
7.PNG,11,yellow,508.5,958.5,-85,-85.0,440
7.PNG,12,yellow,542.5,1170.5,-93,-93.0,440
7.PNG,13,yellow,564.5,1196.5,-94,-93.98,440
7.PNG,14,yellow,593.5,1011.5,-87,-87.0,440
7.PNG,15,yellow,621.5,1170.5,-93,-93.0,440
7.PNG,16,yellow,644.5,1037.5,-88,-87.98,440
7.PNG,17,yellow,675.5,1011.5,-87,-87.0,440
7.PNG,18,yellow,699.5,1011.5,-87,-87.0,440
7.PNG,19,yellow,722.5,905.5,-83,-83.0,440
7.PNG,20,yellow,753.5,1063.5,-89,-88.96,440
7.PNG,21,yellow,776.5,984.5,-86,-85.98,440
7.PNG,22,yellow,798.5,1117.5,-91,-91.0,440
7.PNG,23,yellow,824.5,905.5,-83,-83.0,440
7.PNG,24,yellow,855.5,1223.5,-95,-95.0,440
7.PNG,25,yellow,881.5,984.5,-86,-85.98,440
7.PNG,26,yellow,912.5,984.5,-86,-85.98,440
7.PNG,27,yellow,940.5,958.5,-85,-85.0,440
7.PNG,28,yellow,965.5,1117.5,-91,-91.0,440
7.PNG,29,yellow,993.5,1037.5,-88,-87.98,440
7.PNG,30,yellow,1018.5,1037.5,-88,-87.98,440
7.PNG,31,yellow,1037.5,1063.5,-89,-88.96,440
7.PNG,32,yellow,1070.5,1063.5,-89,-88.96,440
8.PNG,1,yellow,257.5,818.5,-73,-73.0,440
8.PNG,2,yellow,276.5,898.5,-77,-77.02,440
8.PNG,3,yellow,307.5,918.5,-78,-78.02,440
8.PNG,4,yellow,332.5,977.5,-81,-80.98,440
8.PNG,5,yellow,358.5,898.5,-77,-77.02,440
8.PNG,6,yellow,386.5,1256.5,-95,-95.0,440
8.PNG,7,yellow,413.5,1097.5,-87,-87.01,440
8.PNG,8,yellow,439.5,1077.5,-86,-86.01,440
8.PNG,9,yellow,464.5,1057.5,-85,-85.0,440
8.PNG,10,yellow,491.5,1196.5,-92,-91.98,440
8.PNG,11,yellow,517.5,977.5,-81,-80.98,440
8.PNG,12,yellow,542.5,1117.5,-88,-88.02,440
8.PNG,13,yellow,567.5,1276.5,-96,-96.0,440
8.PNG,14,yellow,598.5,997.5,-82,-81.99,440
8.PNG,15,yellow,622.5,958.5,-80,-80.03,440
8.PNG,16,yellow,650.5,1077.5,-86,-86.01,440
8.PNG,17,yellow,668.5,1037.5,-84,-84.0,440
8.PNG,18,yellow,695.5,1136.5,-89,-88.97,440
8.PNG,19,yellow,729.5,1136.5,-89,-88.97,440
8.PNG,20,yellow,751.5,1057.5,-85,-85.0,440
8.PNG,21,yellow,779.5,1077.5,-86,-86.01,440
8.PNG,22,yellow,808.5,1176.5,-91,-90.98,440
8.PNG,23,yellow,830.5,1236.5,-94,-93.99,440
8.PNG,24,yellow,853.5,958.5,-80,-80.03,440
8.PNG,25,yellow,883.5,1176.5,-91,-90.98,440
8.PNG,26,yellow,913.0,1097.5,-87,-87.01,376
8.PNG,27,yellow,930.0,1097.5,-87,-87.01,376
8.PNG,28,yellow,961.5,1077.5,-86,-86.01,440
8.PNG,29,yellow,975.5,1176.5,-91,-90.98,440
8.PNG,30,yellow,1014.5,958.5,-80,-80.03,440
8.PNG,31,yellow,1042.5,1037.5,-84,-84.0,440
8.PNG,32,yellow,1070.5,1117.5,-88,-88.02,440
9.PNG,1,yellow,257.5,1063.5,-79,-78.97,440
9.PNG,2,yellow,279.5,1170.5,-83,-83.01,440
9.PNG,3,yellow,304.5,1037.5,-78,-77.98,440
9.PNG,4,yellow,331.5,1223.5,-85,-85.01,440
9.PNG,5,yellow,357.5,1090.5,-80,-79.99,440
9.PNG,6,yellow,382.5,1249.5,-86,-85.99,440
9.PNG,7,yellow,401.5,1143.5,-82,-81.99,440
9.PNG,8,yellow,435.5,1355.5,-90,-90.0,440
9.PNG,9,yellow,463.5,1170.5,-83,-83.01,440
9.PNG,10,yellow,488.5,1090.5,-80,-79.99,440
9.PNG,11,yellow,516.5,1170.5,-83,-83.01,440
9.PNG,12,yellow,541.5,1011.5,-77,-77.0,440
9.PNG,13,yellow,568.5,1302.5,-88,-88.0,440
9.PNG,14,yellow,595.5,1037.5,-78,-77.98,440
9.PNG,15,yellow,620.5,1143.5,-82,-81.99,440
9.PNG,16,yellow,645.5,1117.5,-81,-81.01,440
9.PNG,17,yellow,675.5,1302.5,-88,-88.0,440
9.PNG,18,yellow,700.5,1302.5,-88,-88.0,440
9.PNG,19,yellow,727.5,1063.5,-79,-78.97,440
9.PNG,20,yellow,748.5,1090.5,-80,-79.99,440
9.PNG,21,yellow,781.5,958.5,-75,-75.0,440
9.PNG,22,yellow,803.5,1011.5,-77,-77.0,440
9.PNG,23,yellow,833.5,1223.5,-85,-85.01,440
9.PNG,24,yellow,847.5,1063.5,-79,-78.97,440
9.PNG,25,yellow,883.5,1090.5,-80,-79.99,442
9.PNG,26,yellow,912.5,1170.5,-83,-83.01,440
9.PNG,27,yellow,937.5,1302.5,-88,-88.0,440
9.PNG,28,yellow,965.5,1090.5,-80,-79.99,440
9.PNG,29,yellow,988.5,1143.5,-82,-81.99,440
9.PNG,30,yellow,1005.5,1276.5,-87,-87.02,440
9.PNG,31,yellow,1034.5,1011.5,-77,-77.0,440
9.PNG,32,yellow,1070.5,1196.5,-84,-83.99,440
10.PNG,1,yellow,257.5,898.5,-77,-77.01,440
10.PNG,2,yellow,274.5,977.5,-81,-80.98,440
10.PNG,3,yellow,302.5,918.5,-78,-78.01,440
10.PNG,4,yellow,327.5,858.5,-75,-75.0,440
10.PNG,5,yellow,356.5,1017.5,-83,-82.99,440
10.PNG,6,yellow,378.5,898.5,-77,-77.01,440
10.PNG,7,yellow,404.5,977.5,-81,-80.98,440
10.PNG,8,yellow,435.5,1136.5,-89,-88.97,440
10.PNG,9,yellow,461.5,958.5,-80,-80.02,440
10.PNG,10,yellow,487.5,977.5,-81,-80.98,440
10.PNG,11,yellow,509.5,1276.5,-96,-96.0,440
10.PNG,12,yellow,538.5,1276.5,-96,-96.0,440
10.PNG,13,yellow,566.5,1117.5,-88,-88.01,440
10.PNG,14,yellow,594.5,1057.5,-85,-85.0,440
10.PNG,15,yellow,621.5,958.5,-80,-80.02,440
10.PNG,16,yellow,644.5,1037.5,-84,-83.99,440
10.PNG,17,yellow,676.5,977.5,-81,-80.98,440
10.PNG,18,yellow,696.5,1196.5,-92,-91.98,440
10.PNG,19,yellow,730.5,1017.5,-83,-82.99,440
10.PNG,20,yellow,755.5,1017.5,-83,-82.99,440
10.PNG,21,yellow,780.5,878.5,-76,-76.0,440
10.PNG,22,yellow,806.5,997.5,-82,-81.98,440
10.PNG,23,yellow,834.5,858.5,-75,-75.0,440
10.PNG,24,yellow,862.5,1057.5,-85,-85.0,440
10.PNG,25,yellow,884.5,958.5,-80,-80.02,440
10.PNG,26,yellow,910.5,1097.5,-87,-87.01,440
10.PNG,27,yellow,940.5,1037.5,-84,-83.99,440
10.PNG,28,yellow,966.5,997.5,-82,-81.98,440
10.PNG,29,yellow,992.5,958.5,-80,-80.02,440
10.PNG,30,yellow,1017.5,918.5,-78,-78.01,440
10.PNG,31,yellow,1048.5,1156.5,-90,-89.97,441
10.PNG,32,yellow,1070.5,898.5,-77,-77.01,440
11.PNG,1,blue,257.5,1315.5,-68,-68.0,448
11.PNG,2,blue,279.5,1117.5,-58,-58.04,448
11.PNG,3,blue,301.5,1037.5,-54,-54.01,448
11.PNG,4,blue,328.5,1037.5,-54,-54.01,448
11.PNG,5,blue,357.5,1057.5,-55,-55.02,448
11.PNG,6,blue,385.5,1057.5,-55,-55.02,448
11.PNG,7,blue,409.5,1077.5,-56,-56.02,450
11.PNG,8,blue,437.5,1136.5,-59,-58.99,448
11.PNG,9,blue,463.5,1136.5,-59,-58.99,448
11.PNG,10,blue,488.5,1196.5,-62,-62.01,448
11.PNG,11,blue,517.5,1077.5,-56,-56.02,448
11.PNG,12,blue,542.5,958.5,-50,-50.03,448
11.PNG,13,blue,569.5,997.5,-52,-52.0,448
11.PNG,14,blue,594.5,938.5,-49,-49.03,448
11.PNG,15,blue,622.5,1017.5,-53,-53.0,448
11.PNG,16,blue,647.5,898.5,-47,-47.01,448
11.PNG,17,blue,673.5,858.5,-45,-45.0,448
11.PNG,18,blue,701.5,918.5,-48,-48.02,448
11.PNG,19,blue,726.5,938.5,-49,-49.02,449
11.PNG,20,blue,746.5,977.5,-51,-50.99,448
11.PNG,21,blue,779.3,1017.5,-53,-53.0,442
11.PNG,22,blue,802.4,1017.5,-53,-53.0,450
11.PNG,23,blue,833.5,898.5,-47,-47.01,448
11.PNG,24,blue,858.5,977.5,-51,-50.99,448
11.PNG,25,blue,883.5,958.5,-50,-50.03,449
11.PNG,26,blue,905.4,997.5,-52,-52.0,450
11.PNG,27,blue,937.5,878.5,-46,-46.01,448
11.PNG,28,blue,962.5,898.5,-47,-47.01,448
11.PNG,29,blue,989.5,918.5,-48,-48.02,448
11.PNG,30,blue,1015.5,997.5,-52,-52.0,448
11.PNG,31,blue,1037.5,958.5,-50,-50.03,448
11.PNG,32,blue,1070.5,918.5,-48,-48.02,448
