file,series,count,mean,median,std,min,max,iqr_filtered_count,iqr_filtered_mean,iqr_filtered_median
1.PNG,all,28,-93.929,-95.0,2.981,-98,-87,28,-93.929,-95.0
1.PNG,yellow,28,-93.929,-95.0,2.981,-98,-87,28,-93.929,-95.0
2.PNG,all,26,-95.077,-95.0,1.412,-97,-93,26,-95.077,-95.0
2.PNG,yellow,26,-95.077,-95.0,1.412,-97,-93,26,-95.077,-95.0
3.PNG,all,29,-93.103,-93.0,2.093,-99,-90,28,-92.893,-93.0
3.PNG,yellow,29,-93.103,-93.0,2.093,-99,-90,28,-92.893,-93.0
4.PNG,all,32,-88.5,-89.0,2.59,-94,-84,32,-88.5,-89.0
4.PNG,yellow,32,-88.5,-89.0,2.59,-94,-84,32,-88.5,-89.0
5.PNG,all,31,-85.032,-84.0,3.281,-94,-81,28,-84.143,-84.0
5.PNG,yellow,31,-85.032,-84.0,3.281,-94,-81,28,-84.143,-84.0
6.PNG,all,32,-87.281,-86.5,2.921,-94,-82,32,-87.281,-86.5
6.PNG,yellow,32,-87.281,-86.5,2.921,-94,-82,32,-87.281,-86.5
7.PNG,all,32,-87.094,-87.0,4.106,-95,-79,32,-87.094,-87.0
7.PNG,yellow,32,-87.094,-87.0,4.106,-95,-79,32,-87.094,-87.0
8.PNG,all,32,-85.5,-86.0,5.553,-96,-73,32,-85.5,-86.0
8.PNG,yellow,32,-85.5,-86.0,5.553,-96,-73,32,-85.5,-86.0
9.PNG,all,32,-82.094,-82.0,3.93,-90,-75,32,-82.094,-82.0
9.PNG,yellow,32,-82.094,-82.0,3.93,-90,-75,32,-82.094,-82.0
10.PNG,all,32,-82.688,-81.5,5.509,-96,-75,30,-81.8,-81.0
10.PNG,yellow,32,-82.688,-81.5,5.509,-96,-75,30,-81.8,-81.0
11.PNG,all,32,-52.406,-52.0,5.034,-68,-45,31,-51.903,-52.0
11.PNG,blue,32,-52.406,-52.0,5.034,-68,-45,31,-51.903,-52.0
