file,point_index,series,x_px,y_px,rssi,rssi_float,area
1.PNG,1,yellow,257.5,931.5,-84,-83.99,440
1.PNG,2,yellow,267.5,1037.5,-88,-87.99,440
1.PNG,3,yellow,279.5,852.5,-81,-81.02,440
1.PNG,4,yellow,293.5,984.5,-86,-85.99,440
1.PNG,5,yellow,307.5,1037.5,-88,-87.99,440
1.PNG,6,yellow,317.5,1011.5,-87,-87.01,440
1.PNG,7,yellow,334.5,1143.5,-92,-91.98,440
1.PNG,8,yellow,344.5,1037.5,-88,-87.99,440
1.PNG,9,yellow,360.5,1143.5,-92,-91.98,440
1.PNG,10,yellow,372.5,1223.5,-95,-95.0,440
1.PNG,11,yellow,387.5,984.5,-86,-85.99,440
1.PNG,12,yellow,398.5,1063.5,-89,-88.97,441
1.PNG,13,yellow,411.5,931.5,-84,-83.99,441
1.PNG,14,yellow,427.5,1037.5,-88,-87.99,440
1.PNG,15,yellow,445.0,1090.5,-90,-89.99,650
1.PNG,16,yellow,465.5,1170.5,-93,-93.0,440
1.PNG,17,yellow,482.5,905.5,-83,-83.02,440
1.PNG,18,yellow,495.5,1011.5,-87,-87.01,440
1.PNG,19,yellow,509.5,1090.5,-90,-89.99,440
1.PNG,20,yellow,522.5,1037.5,-88,-87.99,440
1.PNG,21,yellow,534.5,931.5,-84,-83.99,440
1.PNG,22,yellow,549.5,1063.5,-89,-88.97,440
1.PNG,23,yellow,551.3,984.5,-86,-85.99,434
1.PNG,24,yellow,573.6,984.5,-86,-85.99,435
1.PNG,25,yellow,584.5,1143.5,-92,-91.98,440
1.PNG,26,yellow,601.5,1090.5,-90,-89.99,440
1.PNG,27,yellow,616.5,878.5,-82,-82.0,440
1.PNG,28,yellow,623.5,825.5,-80,-80.0,440
1.PNG,29,yellow,642.5,852.5,-81,-81.02,440
1.PNG,30,yellow,655.5,1063.5,-89,-88.97,468
1.PNG,31,yellow,683.5,1037.5,-88,-87.99,440
1.PNG,32,yellow,696.5,984.5,-86,-85.99,440
1.PNG,33,yellow,708.5,958.5,-85,-85.01,440
1.PNG,34,yellow,718.5,984.5,-86,-85.99,356
1.PNG,35,yellow,735.0,984.5,-86,-85.99,376
1.PNG,36,yellow,747.5,878.5,-82,-82.0,440
1.PNG,37,yellow,760.5,984.5,-86,-85.99,440
1.PNG,38,yellow,777.5,958.5,-85,-85.01,440
1.PNG,39,yellow,790.5,1170.5,-93,-93.0,440
1.PNG,40,yellow,801.6,984.5,-86,-85.99,358
1.PNG,41,yellow,816.9,984.5,-86,-85.99,336
1.PNG,42,yellow,830.5,825.5,-80,-80.0,440
1.PNG,43,yellow,836.5,931.5,-84,-83.99,440
1.PNG,44,yellow,856.5,1090.5,-90,-89.99,440
1.PNG,45,yellow,867.5,1117.5,-91,-91.01,440
1.PNG,46,yellow,884.5,1037.5,-88,-87.99,440
1.PNG,47,yellow,889.0,1143.5,-92,-91.98,376
1.PNG,48,yellow,906.0,1143.5,-92,-91.98,376
1.PNG,49,yellow,919.5,1011.5,-87,-87.01,440
