file,series,count,mean,median,std,min,max,iqr_filtered_count,iqr_filtered_mean,iqr_filtered_median
1.PNG,all,59,-87.102,-87.0,3.497,-95,-80,59,-87.102,-87.0
1.PNG,yellow,59,-87.102,-87.0,3.497,-95,-80,59,-87.102,-87.0
2.PNG,all,61,-85.098,-86.0,4.434,-94,-75,60,-85.267,-86.0
2.PNG,yellow,61,-85.098,-86.0,4.434,-94,-75,60,-85.267,-86.0
3.PNG,all,61,-78.311,-78.0,4.787,-95,-71,58,-77.655,-78.0
3.PNG,yellow,61,-78.311,-78.0,4.787,-95,-71,58,-77.655,-78.0
4.PNG,all,60,-73.267,-73.0,4.494,-88,-66,57,-72.667,-73.0
4.PNG,blue,18,-68.556,-69.0,1.423,-70,-66,18,-68.556,-69.0
4.PNG,yellow,42,-75.286,-74.5,3.782,-88,-71,41,-74.976,-74.0
5.PNG,all,61,-75.934,-76.0,5.049,-86,-68,61,-75.934,-76.0
5.PNG,blue,13,-69.154,-69.0,0.801,-70,-68,13,-69.154,-69.0
5.PNG,yellow,48,-77.771,-78.0,4.028,-86,-71,48,-77.771,-78.0
6.PNG,all,61,-80.787,-81.0,4.344,-92,-71,59,-80.407,-80.0
6.PNG,yellow,61,-80.787,-81.0,4.344,-92,-71,59,-80.407,-80.0
7.PNG,all,58,-87.414,-87.0,3.947,-98,-80,58,-87.414,-87.0
7.PNG,yellow,58,-87.414,-87.0,3.947,-98,-80,58,-87.414,-87.0
8.PNG,all,56,-89.714,-89.0,2.965,-96,-83,56,-89.714,-89.0
8.PNG,yellow,56,-89.714,-89.0,2.965,-96,-83,56,-89.714,-89.0
9.PNG,all,60,-84.1,-84.0,3.302,-91,-79,60,-84.1,-84.0
9.PNG,yellow,60,-84.1,-84.0,3.302,-91,-79,60,-84.1,-84.0
10.PNG,all,62,-83.5,-83.0,3.593,-94,-77,61,-83.328,-83.0
10.PNG,yellow,62,-83.5,-83.0,3.593,-94,-77,61,-83.328,-83.0
