file,count,mean,median,std,min,max,iqr_filtered_count,iqr_filtered_mean,iqr_filtered_median
Screenshot_2026-05-21-21-30-51-08_54e368fb2e9b109578f5ee3d0fcec732.jpg,80,-74.6,-73.0,5.187,-94,-69,74,-73.392,-72.5
Screenshot_2026-05-21-21-31-41-59_54e368fb2e9b109578f5ee3d0fcec732.jpg,42,-76.19,-75.0,5.865,-93,-62,40,-76.125,-75.0
Screenshot_2026-05-21-21-33-21-80_54e368fb2e9b109578f5ee3d0fcec732.jpg,38,-71.789,-72.0,3.006,-79,-64,36,-71.806,-72.0
Screenshot_2026-05-21-21-35-02-21_54e368fb2e9b109578f5ee3d0fcec732.jpg,28,-68.5,-69.0,5.419,-79,-59,28,-68.5,-69.0
Screenshot_2026-05-21-21-36-51-73_54e368fb2e9b109578f5ee3d0fcec732.jpg,64,-71.5,-70.0,6.716,-92,-63,62,-70.871,-69.5
Screenshot_2026-05-21-21-43-24-83_54e368fb2e9b109578f5ee3d0fcec732.jpg,12,-58.917,-58.5,2.906,-66,-55,11,-58.273,-58.0
Screenshot_2026-05-21-21-44-36-61_54e368fb2e9b109578f5ee3d0fcec732.jpg,44,-72.568,-70.5,6.355,-94,-65,42,-71.619,-70.0
Screenshot_2026-05-21-21-46-26-00_54e368fb2e9b109578f5ee3d0fcec732.jpg,49,-68.082,-67.0,4.396,-80,-61,49,-68.082,-67.0
Screenshot_2026-05-21-21-48-28-23_54e368fb2e9b109578f5ee3d0fcec732.jpg,52,-71.5,-70.5,6.539,-89,-62,52,-71.5,-70.5
Screenshot_2026-05-21-21-49-42-78_54e368fb2e9b109578f5ee3d0fcec732.jpg,51,-75.078,-74.0,6.334,-93,-66,49,-74.429,-73.0
Screenshot_2026-05-21-21-56-10-58_54e368fb2e9b109578f5ee3d0fcec732.jpg,10,-85.8,-85.5,4.264,-95,-79,9,-84.778,-85.0
Screenshot_2026-05-21-21-57-09-03_54e368fb2e9b109578f5ee3d0fcec732.jpg,48,-82.625,-84.0,5.603,-92,-74,48,-82.625,-84.0
Screenshot_2026-05-21-21-58-44-20_54e368fb2e9b109578f5ee3d0fcec732.jpg,32,-85.688,-85.5,4.336,-96,-77,32,-85.688,-85.5
Screenshot_2026-05-21-22-00-05-41_54e368fb2e9b109578f5ee3d0fcec732.jpg,18,-90.5,-91.0,3.312,-95,-83,18,-90.5,-91.0
Screenshot_2026-05-21-22-01-13-26_54e368fb2e9b109578f5ee3d0fcec732.jpg,50,-85.76,-87.5,4.813,-93,-76,50,-85.76,-87.5
Screenshot_2026-05-21-22-02-40-19_54e368fb2e9b109578f5ee3d0fcec732.jpg,52,-65.654,-64.0,5.175,-77,-59,52,-65.654,-64.0
Screenshot_2026-05-21-22-04-03-94_54e368fb2e9b109578f5ee3d0fcec732.jpg,45,-85.267,-85.0,3.78,-95,-80,44,-85.045,-85.0
Screenshot_2026-05-21-22-05-28-87_54e368fb2e9b109578f5ee3d0fcec732.jpg,40,-88.675,-89.0,2.768,-93,-83,40,-88.675,-89.0
Screenshot_2026-05-21-22-07-06-85_54e368fb2e9b109578f5ee3d0fcec732.jpg,39,-87.923,-88.0,3.542,-95,-82,39,-87.923,-88.0
Screenshot_2026-05-21-22-08-52-76_54e368fb2e9b109578f5ee3d0fcec732.jpg,29,-82.241,-82.0,4.541,-94,-76,29,-82.241,-82.0
