file,point_index,x_px,y_px,rssi,rssi_float,area
1.jpg,1,151.2,732.7,-77,-76.94,25
1.jpg,2,184.6,723.3,-75,-75.05,70
1.jpg,3,271.2,732.9,-77,-76.97,61
1.jpg,4,315.3,727.8,-76,-75.97,67
1.jpg,5,393.0,733.0,-77,-77.0,62
1.jpg,6,399.8,733.0,-77,-77.0,59
1.jpg,7,436.1,717.9,-74,-73.97,67
1.jpg,8,480.5,737.9,-78,-77.98,72
1.jpg,9,516.5,738.0,-78,-78.0,74
1.jpg,10,638.8,728.0,-76,-76.0,75
1.jpg,11,645.4,733.1,-77,-77.02,61
1.jpg,12,681.1,713.0,-73,-73.0,61
1.jpg,13,725.8,718.0,-74,-74.0,65
1.jpg,14,761.2,727.8,-76,-75.96,62
1.jpg,15,803.6,713.2,-73,-73.03,66
1.jpg,16,847.4,717.9,-74,-73.98,66
1.jpg,17,885.5,728.1,-76,-76.01,65
1.jpg,18,921.6,718.0,-74,-73.99,65
1.jpg,19,927.9,713.1,-73,-73.02,62
1.jpg,20,970.5,723.2,-75,-75.04,70
1.jpg,21,1007.4,743.0,-79,-79.0,71
1.jpg,22,1049.7,718.0,-74,-73.99,63
1.jpg,23,1128.3,752.8,-81,-80.96,77
2.jpg,1,151.2,627.6,-56,-55.92,29
2.jpg,2,192.1,672.8,-65,-64.95,68
2.jpg,3,197.9,678.0,-66,-66.0,63
2.jpg,4,235.1,683.2,-67,-67.04,66
2.jpg,5,279.6,658.2,-62,-62.03,72
2.jpg,6,320.4,673.2,-65,-65.03,71
2.jpg,7,365.2,693.0,-69,-68.99,66
2.jpg,8,393.6,667.8,-64,-63.96,67
2.jpg,9,401.1,667.9,-64,-63.97,62
2.jpg,10,444.3,673.0,-65,-65.0,69
2.jpg,11,483.1,677.9,-66,-65.99,133
2.jpg,12,522.6,633.1,-57,-57.02,72
2.jpg,13,566.6,667.8,-64,-63.95,73
2.jpg,14,602.0,693.2,-69,-69.04,60
2.jpg,15,608.5,687.9,-68,-67.99,73
2.jpg,16,644.4,623.3,-55,-55.05,69
2.jpg,17,724.3,713.1,-73,-73.01,71
2.jpg,18,847.5,693.1,-69,-69.02,62
2.jpg,19,974.8,703.2,-71,-71.04,71
2.jpg,20,1010.6,623.2,-55,-55.03,72
2.jpg,21,1053.3,618.0,-54,-54.01,70
2.jpg,22,1133.6,663.2,-63,-63.04,68
3.jpg,1,151.0,703.2,-71,-71.04,27
3.jpg,2,188.9,703.1,-71,-71.02,114
3.jpg,3,235.5,683.1,-67,-67.01,67
3.jpg,4,305.7,698.0,-70,-70.01,69
3.jpg,5,391.3,693.0,-69,-69.0,69
3.jpg,6,476.0,677.9,-66,-65.98,66
3.jpg,7,511.1,693.1,-69,-69.03,63
3.jpg,8,517.6,673.1,-65,-65.01,67
3.jpg,9,555.6,703.2,-71,-71.03,66
3.jpg,10,561.8,708.1,-72,-72.02,64
3.jpg,11,598.1,668.0,-64,-64.0,68
3.jpg,12,765.0,723.2,-75,-75.04,64
3.jpg,13,799.7,708.0,-72,-72.0,64
3.jpg,14,837.7,703.2,-71,-71.04,62
3.jpg,15,844.3,698.2,-70,-70.04,76
3.jpg,16,881.5,673.0,-65,-65.01,68
3.jpg,17,931.5,743.2,-79,-79.04,67
3.jpg,18,1009.7,713.2,-73,-73.04,66
3.jpg,19,1045.2,732.9,-77,-76.98,58
3.jpg,20,1082.5,717.7,-74,-73.94,72
3.jpg,21,1089.2,752.7,-81,-80.95,73
3.jpg,22,1125.5,683.2,-67,-67.03,69
3.jpg,23,1167.6,718.2,-74,-74.04,34
4.jpg,1,151.3,697.9,-70,-69.97,23
4.jpg,2,265.5,702.9,-71,-70.98,72
4.jpg,3,272.0,698.2,-70,-70.04,59
4.jpg,4,388.7,707.9,-72,-71.98,72
