file,count,mean,median,std,min,max,iqr_filtered_count,iqr_filtered_mean,iqr_filtered_median
1.jpg,23,-75.826,-76.0,2.081,-81,-73,23,-75.826,-76.0
2.jpg,22,-63.955,-65.0,5.438,-73,-54,22,-63.955,-65.0
3.jpg,23,-71.0,-71.0,4.411,-81,-64,23,-71.0,-71.0
4.jpg,20,-71.95,-71.0,4.763,-85,-66,16,-70.438,-70.5
5.jpg,23,-68.043,-68.0,4.538,-81,-57,21,-67.952,-68.0
6.jpg,23,-77.652,-78.0,4.281,-90,-71,22,-77.091,-78.0
7.jpg,21,-72.143,-70.0,5.072,-84,-66,19,-71.0,-70.0
8.jpg,24,-59.5,-56.0,5.703,-70,-54,24,-59.5,-56.0
9.jpg,25,-56.6,-53.0,6.646,-72,-50,25,-56.6,-53.0
10.jpg,30,-68.033,-68.0,3.653,-76,-58,28,-68.107,-68.0
11.jpg,26,-77.731,-77.5,2.237,-82,-73,26,-77.731,-77.5
12.jpg,30,-82.033,-81.5,4.39,-91,-75,30,-82.033,-81.5
13.jpg,26,-82.231,-82.5,5.331,-92,-73,26,-82.231,-82.5
14.jpg,23,-86.565,-86.0,4.132,-94,-79,23,-86.565,-86.0
15.jpg,20,-83.75,-84.5,4.315,-91,-76,20,-83.75,-84.5
16.jpg,23,-88.174,-87.0,4.438,-98,-82,20,-86.75,-86.0
17.jpg,22,-84.0,-83.0,5.127,-97,-77,21,-83.381,-82.0
18.jpg,31,-69.774,-69.0,2.526,-78,-67,30,-69.5,-69.0
19.jpg,35,-66.343,-67.0,3.244,-73,-57,32,-66.719,-67.0
20.jpg,21,-83.143,-83.0,3.26,-90,-77,21,-83.143,-83.0
