point,true_distance,rssi,estimated_distance,smoothed_distance,error
0,24.0,-93.929,26.0,26.0,2.0
1,21.6,-95.077,26.0,25.416384430078455,4.399999999999999
2,19.2,-92.893,23.081922150392273,21.262308969470695,3.881922150392274
3,16.8,-88.5,11.065778396176652,12.32327923667579,-5.7342216038233484
4,14.4,-84.143,5.337138844456722,7.220172850871059,-9.062861155543278
5,12.0,-87.281,9.023669324808477,8.230757878605479,-2.976330675191523
6,9.6,-87.094,8.74564257414524,8.39169537170885,-0.8543574258547597
7,7.2,-85.5,6.697879811300052,6.525411145583093,-0.5021201886999478
8,4.8,-82.094,3.7877737198700734,4.333423474402499,-1.0122262801299264
9,2.4,-81.8,3.6059164011022258,2.925947263408611,1.2059164011022259
10,0.0,-51.903,0.02421339386630552,0.02421339386630552,0.02421339386630552
