scene,point,true_x,true_y,est_x,est_y,error,rssi_ymh,rssi_wkx,rssi_whx,dist_ymh,dist_wkx,dist_whx
indoor,0,0.0,0.0,1.5498486876931876,0.06390683949233159,1.5511657032303785,-80.662,-75.826,-73.392,6.433700774460476,4.846427642543899,4.014006437563374
indoor,1,2.0,0.0,0.2556511284868081,0.6551233674022595,1.8633141474442312,-72.607,-63.955,-76.125,2.0982152546407833,1.8747156032372754,5.8769220772325195
indoor,2,2.0,1.5,1.804437418890392,1.7987056812983289,0.3570291405055767,-75.984,-71.0,-71.806,3.356279162005012,3.2940546459664497,3.2173201612000395
indoor,3,2.0,3.0,2.48241153330235,2.8345842491997257,0.5099835860848297,-74.633,-70.438,-68.5,2.781267620602813,3.1492182743967425,2.028657179034065
indoor,4,3.5,3.0,1.9011864051068093,2.2988624057112204,1.7457946148789512,-73.217,-67.952,-70.871,2.2840245429399624,2.5811945307912723,2.823902375912497
indoor,5,3.5,4.2,4.946955199021821,4.66472209711843,1.5197519453932045,-80.262,-77.091,-58.273,6.085502536900954,5.362622044535974,0.4871153628469631
indoor,6,1.0,3.2,1.1811976670574007,2.8601704830876753,0.3851190661495595,-68.883,-71.0,-71.619,1.2499118272184142,3.2940546459664497,3.134478968091083
indoor,7,1.0,1.6,2.9597880335873104,2.344299824064276,2.096366228666673,-74.6,-59.5,-68.082,2.7685298852100715,1.3126101083790653,1.91374995379534
indoor,8,3.0,1.3,2.559146750298979,1.4808810910331969,0.47651816005826086,-75.081,-56.6,-71.5,2.9601036582640092,1.040802425758993,3.0828759317558663
indoor,9,4.0,1.0,1.6604489121752908,0.07125361607646344,2.5171549690459716,-78.383,-68.107,-74.429,4.685804111079288,2.6134041873584364,4.638761856616026
outdoor,0,9.6,4.2,7.547814021420835,-0.9999999999999999,5.590301180676845,-87.102,-77.731,-84.778,14.598643234724982,3.9705921525480714,7.802201663884742
outdoor,1,7.2,5.4,4.583626581547023,-0.9999999999999999,6.914145635202322,-85.267,-82.033,-82.625,11.147602207911682,6.523044702839087,6.50326052656508
outdoor,2,4.8,6.6,4.357629289758181,5.5552093390480115,1.1345833466486026,-77.655,-82.231,-85.688,3.6416242405646426,6.673799278482414,8.426440262748823
outdoor,3,1.2,8.4,1.9374643680028703,8.58611481741612,0.760586891377776,-72.667,-86.565,-90.5,1.749455839784838,11.004540119832779,12.659106431587196
outdoor,4,1.2,4.8,3.483311142154882,6.249794508173798,2.704702180983987,-75.934,-83.75,-85.76,2.8277493040605366,7.952395070361377,8.477912266115124
outdoor,5,1.2,1.2,-0.9999999999999999,1.7808131223594992,2.275377745145845,-80.407,-86.75,-65.654,5.457073007712605,11.24198982586464,1.5478769612182068
outdoor,6,6.0,1.2,5.514569925271126,-0.9999999999999999,2.2529186308988787,-87.414,-83.381,-85.045,15.283680924129483,7.620886311125106,7.980403789919592
outdoor,7,7.2,1.2,10.599999999999937,-0.9999999999999999,4.049691346263264,-89.714,-69.5,-88.675,15.579473675320358,1.5358827229874106,10.848393669683642
outdoor,8,9.6,1.2,8.670808671703053,1.5163894255328805,0.9815797436638909,-84.1,-66.719,-87.923,9.390526794299106,1.1142637889074223,10.179870800220336
outdoor,9,9.6,5.4,7.57299498404478,6.523555889900498,2.317569237895109,-83.328,-83.143,-82.241,8.3832408095119,7.414435538659453,6.295434414290043
